degree,alpha,val_rmse
1,0.1,35345.68935485242
1,1.0,35354.73279498544
1,10.0,35442.94734061621
1,100.0,36172.59372004093
2,0.1,29829.968705370124
2,1.0,29827.724333171634
2,10.0,29822.245460755807
2,100.0,30295.792168223023
3,0.1,28419.10678700207
3,1.0,28413.38487495524
3,10.0,28384.101974672652
3,100.0,28659.873211136437
