Method,Alpha,Train_RMSE,Test_RMSE,Train_R2,Test_R2
Closed-Form,10.0,20983.758077837978,23932.68996823502,0.9077521887457215,0.8712291382672676
Gradient Descent,10.0,23880.141230215973,26198.696396835072,0.8805287765388864,0.8456900478935818
