Metric,Value
Architecture,260 -> 100 -> 1
Learning_Rate,0.01
Epochs,1000
Train_RMSE,17140.5905164598
Test_RMSE,32149.93687363053
Train_R2,0.9496801006815176
Test_R2,0.8652445263657856
