Metric,Value
Method,Stacking
Base_Models,RF+XGB+LGBM
Meta_Model,Ridge
Train_RMSE,8316.743446526696
Test_RMSE,27994.725269599105
Train_R2,0.9884034475104885
Test_R2,0.8978264259235812
