Model,Test_RMSE,Test_MAE,Test_R2
Random Forest,29093.831981630243,17683.872120156226,0.8896460155003313
XGBoost,25579.75824748936,16047.637548159246,0.9146941304206848
LightGBM,30201.54729010835,17262.457554359527,0.8810828334964452
Stacking Ensemble,27994.725269599105,16338.52421521757,0.8978264259235812
